"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xAA","xAA3","M","A","Flight",3.94,1,66,"A","Flight","E","impoverished"
"xO","xO3","F","A","Flight",4.2,1,66,"A","Flight","C","impoverished"
"xP","xP6","F","B","Flight",4.333333333,1,66,"B","Flight","C","enhanced"
"xAK","xAK9","M","B","Waiting",5.603333333,1,66,"B","Waiting","F","enhanced"
"xAH","xAH13","F","B","Waiting",5.143333333,1,66,"B","Waiting","F","enhanced"
"xS","xS11","M","B","Waiting",4.973333333,1,66,"B","Waiting","D","enhanced"
"xS","xS6","M","A","Waiting",3.623333333,1,66,"A","Waiting","D","impoverished"
"xBG","xBG2","F","A","Flight",4.433333333,1,65,"A","Flight","G","impoverished"
"xBG","xBG8","F","A","Flight",4.306666667,1,65,"A","Flight","G","impoverished"
"xBF","xBF9","F","A","Flight",4.226666667,1,65,"A","Flight","G","impoverished"
"xBA","xBA2","F","A","Flight",3.663333333,1,65,"A","Flight","G","impoverished"
"xBI","xBI4","F","A","Flight",4.41,1,65,"A","Flight","G","impoverished"
"xAW","xAW11","M","A","Flight",4.273333333,1,65,"A","Flight","G","impoverished"
"xAG","xAG13","F","B","Flight",5.556666667,1,65,"B","Flight","F","enhanced"
"xAH","xAH17","F","B","Flight",5.186666667,1,65,"B","Flight","F","enhanced"
"xAJ","xAJ9","M","B","Flight",5.776666667,1,65,"B","Flight","F","enhanced"
"xL","xL7","M","A","Flight",4.143333333,0,65,"A","Flight","C","impoverished"
"xN","xN5","M","B","Flight",5.476666667,1,65,"B","Flight","C","enhanced"
"xG","xG1","M","B","Flight",5.43,1,65,"B","Flight","B","enhanced"
"xD","xD13","M","A","Flight",4.466666667,1,65,"A","Flight","B","impoverished"
"xH","xH7","M","B","Flight",5.173333333,1,65,"B","Flight","B","enhanced"
"xD","xD1","M","B","Waiting",5.333333333,1,65,"B","Waiting","B","enhanced"
"xBK","xBK13","F","A","Waiting",5.176666667,1,65,"A","Waiting","G","impoverished"
"xBF","xBF4","M","A","Waiting",4.37,1,65,"A","Waiting","G","impoverished"
"xBG","xBG5","M","A","Waiting",4.286666667,1,65,"A","Waiting","G","impoverished"
"xBH","xBH6","F","A","Waiting",4.243333333,1,65,"A","Waiting","G","impoverished"
"xBI","xBI2","F","A","Waiting",4.23,1,65,"A","Waiting","G","impoverished"
"xBH","xBH5","M","A","Waiting",4.213333333,1,65,"A","Waiting","G","impoverished"
"xAX","xAX6","F","A","Waiting",4.146666667,1,65,"A","Waiting","G","impoverished"
"xBH","xBH8","M","A","Waiting",4.106666667,1,65,"A","Waiting","G","impoverished"
"xD","xD9","M","A","Waiting",3.876666667,1,65,"A","Waiting","B","impoverished"
"xBI","xBI9","M","B","Flight",5.396666667,1,64,"B","Flight","G","enhanced"
"xBG","xBG9","M","B","Flight",5.65,1,64,"B","Flight","G","enhanced"
"xBD","xBD8","M","B","Flight",5.076666667,1,64,"B","Flight","G","enhanced"
"xBE","xBE10","F","A","Flight",4.95,1,64,"A","Flight","G","impoverished"
"xBJ","xBJ11","M","B","Flight",5.193333333,1,64,"B","Flight","G","enhanced"
"xBJ","xBJ2","F","A","Flight",4.26,1,64,"A","Flight","G","impoverished"
"xAG","xAG5","M","A","Flight",4.16,1,64,"A","Flight","F","impoverished"
"xE","xE6","F","B","Flight",5.666666667,1,64,"B","Flight","B","enhanced"
"xAX","xAX19","M","B","Waiting",5.526666667,1,64,"B","Waiting","G","enhanced"
"xBC","xBC10","F","B","Waiting",5.463333333,1,64,"B","Waiting","G","enhanced"
"xBI","xBI18","F","B","Waiting",5.183333333,1,64,"B","Waiting","G","enhanced"
"xBD","xBD9","F","B","Waiting",4.95,1,64,"B","Waiting","G","enhanced"
"xAY","xAY2","M","A","Waiting",4.203333333,1,64,"A","Waiting","G","impoverished"
"xAI","xAI1","F","A","Flight",4.243333333,1,63,"A","Flight","F","impoverished"
"xAA","xAA8","F","B","Flight",5.406666667,1,63,"B","Flight","E","enhanced"
"xP","xP5","F","B","Flight",5.096666667,1,63,"B","Flight","C","enhanced"
"xAF","xAF5","F","A","Waiting",4.72,1,63,"A","Waiting","E","impoverished"
"xBE","xBE6","F","B","Flight",5.403333333,1,62,"B","Flight","G","enhanced"
"xAK","xAK16","F","B","Flight",5.436666667,1,62,"B","Flight","F","enhanced"
"xAI","xAI16","M","B","Flight",5.35,1,62,"B","Flight","F","enhanced"
"xAH","xAH16","M","B","Flight",4.463333333,1,62,"B","Flight","F","enhanced"
"xL","xL2","F","B","Flight",5.05,1,62,"B","Flight","C","enhanced"
"xF","xF7","F","B","Flight",5.06,1,62,"B","Flight","B","enhanced"
"xH","xH12","F","B","Flight",4.613333333,1,62,"B","Flight","B","enhanced"
"xAJ","xAJ12","F","B","Waiting",5.29,1,62,"B","Waiting","F","enhanced"
"xAH","xAH11","F","B","Waiting",5.23,1,62,"B","Waiting","F","enhanced"
"xBC","xBC3","M","A","Flight",3.87,1,61,"A","Flight","G","impoverished"
"xBH","xBH2","M","A","Flight",3.916666667,1,61,"A","Flight","G","impoverished"
"xBG","xBG6","F","A","Waiting",4.17,1,61,"A","Waiting","G","impoverished"
"xAJ","xAJ1","M","A","Waiting",4.116666667,1,61,"A","Waiting","F","impoverished"
"xBE","xBE7","M","B","Flight",5.266666667,1,60,"B","Flight","G","enhanced"
"xBF","xBF12","F","B","Flight",5.246666667,1,60,"B","Flight","G","enhanced"
"xBE","xBE3","F","B","Flight",4.84,1,60,"B","Flight","G","enhanced"
"xAD","xAD4","F","A","Flight",4.8,1,60,"A","Flight","E","impoverished"
"xAD","xAD11","F","B","Waiting",5.423333333,1,60,"B","Waiting","E","enhanced"
"xBD","xBD10","F","B","Waiting",5.053333333,1,60,"B","Waiting","G","enhanced"
"xBI","xBI7","M","A","Flight",4.306666667,1,59,"A","Flight","G","impoverished"
"xBC","xBC1","M","A","Flight",3.763333333,1,59,"A","Flight","G","impoverished"
"xAW","xAW4","M","B","Flight",5.343333333,1,59,"B","Flight","G","enhanced"
"xAW","xAW13","F","A","Flight",4.13,1,59,"A","Flight","G","impoverished"
"xAG","xAG14","M","B","Flight",5.803333333,1,59,"B","Flight","F","enhanced"
"xAI","xAI11","M","B","Flight",5.263333333,1,59,"B","Flight","F","enhanced"
"xAI","xAI18","M","B","Flight",5.23,1,59,"B","Flight","F","enhanced"
"xK","xK14","F","B","Flight",5.33,1,59,"B","Flight","C","enhanced"
"xBK","xBK12","F","A","Waiting",5.533333333,1,59,"A","Waiting","G","impoverished"
"xAW","xAW6","M","B","Waiting",5.303333333,1,59,"B","Waiting","G","enhanced"
"xT","xT1","M","B","Waiting",5.176666667,1,59,"B","Waiting","D","enhanced"
"xAI","xAI14","M","B","Waiting",5.143333333,1,59,"B","Waiting","F","enhanced"
"xQ","xQ2","F","B","Waiting",4.95,1,59,"B","Waiting","D","enhanced"
"xBA","xBA6","F","A","Waiting",3.886666667,1,59,"A","Waiting","G","impoverished"
"xBI","xBI15","M","B","Flight",5.653333333,1,58,"B","Flight","G","enhanced"
"xBI","xBI13","M","B","Flight",5.226666667,1,58,"B","Flight","G","enhanced"
"xBB","xBB8","M","B","Flight",5.506666667,1,58,"B","Flight","G","enhanced"
"xBA","xBA7","F","B","Flight",4.866666667,1,58,"B","Flight","G","enhanced"
"xBH","xBH10","M","B","Flight",5.006666667,1,58,"B","Flight","G","enhanced"
"xAZ","xAZ5","F","B","Flight",NA,1,58,"B","Flight","G","enhanced"
"xBC","xBC8","F","B","Flight",5.353333333,1,58,"B","Flight","G","enhanced"
"xBJ","xBJ12","F","B","Flight",3.916666667,1,58,"B","Flight","G","enhanced"
"xBB","xBB11","F","B","Waiting",5.573333333,1,58,"B","Waiting","G","enhanced"
"xBE","xBE2","F","B","Waiting",5.406666667,1,58,"B","Waiting","G","enhanced"
"xBI","xBI10","F","B","Waiting",5.246666667,1,58,"B","Waiting","G","enhanced"
"xBE","xBE5","F","B","Waiting",5.086666667,1,58,"B","Waiting","G","enhanced"
"xBJ","xBJ8","F","B","Waiting",4.823333333,1,58,"B","Waiting","G","enhanced"
"xAG","xAG2","F","A","Flight",4.24,1,57,"A","Flight","F","impoverished"
"xZ","xZ3","F","B","Flight",5.19,1,57,"B","Flight","E","enhanced"
"xAH","xAH6","F","A","Waiting",4.38,1,57,"A","Waiting","F","impoverished"
"xAK","xAK6","F","A","Waiting",4.02,1,57,"A","Waiting","F","impoverished"
"xN","xN11","F","A","Flight",4.223333333,1,56,"A","Flight","C","impoverished"
"xQ","xQ11","M","A","Waiting",4.506666667,1,56,"A","Waiting","D","impoverished"
"xT","xT14","M","A","Waiting",3.853333333,1,56,"A","Waiting","D","impoverished"
"xBG","xBG7","M","A","Flight",4.16,1,55,"A","Flight","G","impoverished"
"xAW","xAW8","M","A","Flight",4.163333333,1,55,"A","Flight","G","impoverished"
"xAW","xAW5","F","B","Flight",5.316666667,1,55,"B","Flight","G","enhanced"
"xAK","xAK17","M","B","Flight",5.446666667,1,55,"B","Flight","F","enhanced"
"xAF","xAF9","M","B","Flight",5.356666667,1,55,"B","Flight","E","enhanced"
"xAF","xAF6","F","B","Flight",5.06,1,55,"B","Flight","E","enhanced"
"xH","xH8","F","B","Flight",5.226666667,1,55,"B","Flight","B","enhanced"
"xBI","xBI11","M","B","Flight",4.923333333,1,54,"B","Flight","G","enhanced"
"xBH","xBH15","F","B","Flight",5.09,1,54,"B","Flight","G","enhanced"
"xAX","xAX17","M","B","Flight",5.34,1,54,"B","Flight","G","enhanced"
"xBJ","xBJ10","F","B","Flight",5.263333333,1,54,"B","Flight","G","enhanced"
"xAY","xAY6","F","B","Flight",5.063333333,1,54,"B","Flight","G","enhanced"
"xBB","xBB9","F","B","Flight",5.353333333,1,54,"B","Flight","G","enhanced"
"xBB","xBB7","F","B","Flight",5.24,1,54,"B","Flight","G","enhanced"
"xBJ","xBJ1","M","A","Flight",4.66,1,54,"A","Flight","G","impoverished"
"xBG","xBG16","M","B","Waiting",5.373333333,1,54,"B","Waiting","G","enhanced"
"xBI","xBI17","M","B","Waiting",5.326666667,1,54,"B","Waiting","G","enhanced"
"xBH","xBH12","M","B","Waiting",5.176666667,1,54,"B","Waiting","G","enhanced"
"xBI","xBI14","F","B","Waiting",5.11,1,54,"B","Waiting","G","enhanced"
"xAZ","xAZ6","F","B","Waiting",4.896666667,1,54,"B","Waiting","G","enhanced"
"xAY","xAY5","F","B","Waiting",4.736666667,1,54,"B","Waiting","G","enhanced"
"xAF","xAF3","F","A","Flight",4.77,1,53,"A","Flight","E","impoverished"
"xQ","xQ4","F","B","Waiting",5.173333333,1,53,"B","Waiting","D","enhanced"
"xAA","xAA9","F","B","Waiting",5.12,1,53,"B","Waiting","E","enhanced"
"xQ","xQ6","F","B","Waiting",5.08,1,53,"B","Waiting","D","enhanced"
"xQ","xQ8","F","B","Waiting",4.846666667,1,53,"B","Waiting","D","enhanced"
"xAA","xAA5","M","A","Waiting",4.313333333,1,53,"A","Waiting","E","impoverished"
"xP","xP4","M","B","Flight",5.226666667,1,52,"B","Flight","C","enhanced"
"xBG","xBG14","F","B","Flight",5.713333333,1,51,"B","Flight","G","enhanced"
"xBD","xBD7","F","B","Flight",5.17,1,51,"B","Flight","G","enhanced"
"xAZ","xAZ4","F","B","Flight",5.243333333,1,51,"B","Flight","G","enhanced"
"xBF","xBF14","F","B","Flight",5.123333333,1,51,"B","Flight","G","enhanced"
"xBJ","xBJ7","M","B","Flight",4.686666667,1,51,"B","Flight","G","enhanced"
"xBF","xBF11","M","B","Flight",5.003333333,1,51,"B","Flight","G","enhanced"
"xAI","xAI10","M","B","Flight",4.74,1,51,"B","Flight","F","enhanced"
"xAX","xAX18","M","B","Waiting",5.543333333,1,51,"B","Waiting","G","enhanced"
"xAZ","xAZ1","F","B","Waiting",5.336666667,1,51,"B","Waiting","G","enhanced"
"xAF","xAF10","F","B","Waiting",5.32,1,51,"B","Waiting","E","enhanced"
"xBB","xBB5","F","B","Waiting",5.243333333,1,51,"B","Waiting","G","enhanced"
"xAK","xAK10","F","B","Waiting",5.173333333,1,51,"B","Waiting","F","enhanced"
"xBE","xBE9","M","A","Waiting",4.163333333,1,51,"A","Waiting","G","impoverished"
"xAD","xAD9","F","B","Flight",5.526666667,1,50,"B","Flight","E","enhanced"
"xAA","xAA2","M","A","Flight",4.476666667,1,50,"A","Flight","E","impoverished"
"xT","xT12","M","A","Flight",3.59,1,49,"A","Flight","D","impoverished"
"xT","xT6","F","B","Flight",4.94,1,49,"B","Flight","D","enhanced"
"xO","xO5","F","B","Flight",5.043333333,1,49,"B","Flight","C","enhanced"
"xS","xS13","M","B","Waiting",4.85,1,49,"B","Waiting","D","enhanced"
"xBC","xBC4","F","A","Flight",3.803333333,1,48,"A","Flight","G","impoverished"
"xJ","xJ14","M","B","Flight",5.366666667,0,48,"B","Flight","C","enhanced"
"xD","xD3","M","B","Flight",5.306666667,1,48,"B","Flight","B","enhanced"
"xI","xI14","M","B","Flight",5.59,0,48,"B","Flight","C","enhanced"
"xAW","xAW3","M","B","Waiting",5.2,1,48,"B","Waiting","G","enhanced"
"xAF","xAF12","F","B","Waiting",5.13,1,48,"B","Waiting","E","enhanced"
"xAX","xAX5","M","A","Waiting",4.21,1,48,"A","Waiting","G","impoverished"
"xBC","xBC12","F","B","Flight",5.52,1,47,"B","Flight","G","enhanced"
"xBH","xBH16","M","B","Flight",5.09,1,47,"B","Flight","G","enhanced"
"xAY","xAY4","F","B","Flight",4.913333333,1,47,"B","Flight","G","enhanced"
"xZ","xZ4","F","B","Flight",5.35,1,47,"B","Flight","E","enhanced"
"xBG","xBG15","M","B","Waiting",5.71,1,47,"B","Waiting","G","enhanced"
"xBH","xBH9","M","B","Waiting",5.21,1,47,"B","Waiting","G","enhanced"
"xBD","xBD5","M","B","Waiting",5.06,1,47,"B","Waiting","G","enhanced"
"xQ","xQ9","M","B","Flight",5.103333333,1,46,"B","Flight","D","enhanced"
"xQ","xQ13","F","A","Waiting",4.04,1,46,"A","Waiting","D","impoverished"
"xQ","xQ17","F","A","Waiting",3.576666667,1,46,"A","Waiting","D","impoverished"
"xBF","xBF3","F","A","Flight",4.073333333,1,45,"A","Flight","G","impoverished"
"xAX","xAX16","M","B","Flight",5.473333333,1,44,"B","Flight","G","enhanced"
"xBC","xBC9","M","B","Flight",5.36,1,44,"B","Flight","G","enhanced"
"xAX","xAX10","M","B","Flight",5.3,1,44,"B","Flight","G","enhanced"
"xAX","xAX15","M","B","Waiting",5.383333333,1,44,"B","Waiting","G","enhanced"
"xBJ","xBJ9","M","B","Waiting",5.06,1,44,"B","Waiting","G","enhanced"
"xBF","xBF15","F","B","Waiting",5.026666667,1,44,"B","Waiting","G","enhanced"
"xBH","xBH13","F","B","Waiting",4.806666667,1,44,"B","Waiting","G","enhanced"
"xBC","xBC7","M","B","Waiting",4.596666667,1,44,"B","Waiting","G","enhanced"
"xAD","xAD8","F","B","Flight",5.593333333,1,43,"B","Flight","E","enhanced"
"xAA","xAA4","M","A","Waiting",4.503333333,1,43,"A","Waiting","E","impoverished"
"xAI","xAI9","F","A","Waiting",4.286666667,1,43,"A","Waiting","F","impoverished"
"xAX","xAX14","M","B","Flight",5.46,1,40,"B","Flight","G","enhanced"
"xBE","xBE4","M","B","Flight",4.936666667,1,40,"B","Flight","G","enhanced"
"xAX","xAX12","M","B","Waiting",5.51,1,40,"B","Waiting","G","enhanced"
"xS","xS8","F","B","Waiting",4.716666667,1,39,"B","Waiting","D","enhanced"
"xD","xD6","F","B","Flight",5.356666667,0,36,"B","Flight","B","enhanced"
"xAX","xAX11","M","B","Waiting",5.13,1,36,"B","Waiting","G","enhanced"
"xBD","xBD4","M","A","Flight",4.11,1,31,"A","Flight","G","impoverished"
"xI","xI11","M","B","Flight",4.94,0,31,"B","Flight","C","enhanced"
"xP","xP11","F","A","Flight",3.543333333,0,28,"A","Flight","C","impoverished"
"xAZ","xAZ2","F","B","Flight",5.333333333,1,26,"B","Flight","G","enhanced"
"xBB","xBB1","M","A","Waiting",4.316666667,1,24,"A","Waiting","G","impoverished"
"xJ","xJ6","M","B","Flight",5.423333333,0,21,"B","Flight","C","enhanced"
"xT","xT13","M","A","Flight",4.776666667,0,20,"A","Flight","D","impoverished"
"xAJ","xAJ11","M","B","Flight",5.556666667,0,17,"B","Flight","F","enhanced"
"xI","xI9","M","B","Flight",5.57,0,17,"B","Flight","C","enhanced"
"xE","xE12","F","A","Waiting",NA,0,16,"A","Waiting","B","impoverished"
"xJ","xJ13","M","B","Flight",NA,0,13,"B","Flight","C","enhanced"
"xK","xK8","M","A","Waiting",NA,0,13,"A","Waiting","C","impoverished"
"xBB","xBB2","F","A","Flight",NA,0,13,"A","Flight","G","impoverished"
"xH","xH1","M","A","Waiting",4.103333333,1,13,"A","Waiting","B","impoverished"
"xBI","xBI3","M","A","Waiting",4.133333333,1,12,"A","Waiting","G","impoverished"
"xAX","xAX2","M","A","Waiting",3.796666667,1,12,"A","Waiting","G","impoverished"
"xBC","xBC11","M","B","Flight",4.19,1,11,"B","Flight","G","enhanced"
"xBK","xBK1","","B","Flight",3.803333333,1,11,"B","Flight","G","enhanced"
"xL","xL5","M","B","Waiting",NA,0,10,"B","Waiting","C","enhanced"
"xK","xK6","F","A","Waiting",4.263333333,1,10,"A","Waiting","C","impoverished"
