Session,Channel,total_distance,total_duration,total_avg_speed,total_peak_speed,marathon_flights,long_flights,medium_flights,short_flights,skip_flights,trial_length
156,F,1268.96,4965.641691,0.25554804,1.171718264,0,0,1,14,4,14399.99239
156,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99239
157,A,3993.44,5412.06751,0.737876975,1.482809643,0,0,3,15,7,14399.99125
157,B,0,0,NA,#NAME?,0,0,0,0,0,14399.99125
157,C,10.56,35.8885901,0.294243936,2.399192631,0,0,0,0,3,14399.99125
157,D,0,0,NA,#NAME?,0,0,0,0,0,14399.99125
157,E,570.24,1013.382154,0.562709732,0.935469736,0,0,1,0,0,14399.99125
157,F,0,0,NA,#NAME?,0,0,0,0,0,14399.99125
157,G,937.2,1580.043339,0.593148287,1.219214811,0,0,0,9,12,14399.99125
200,A,2065.36,4073.352851,0.50704176,1.120024664,0,0,2,5,0,14397.97616
200,B,0,0,NA,#NAME?,0,0,0,0,0,14397.97616
200,C,2.64,9.683806896,0.272620058,0.205719473,0,0,0,0,1,14397.97616
200,D,42.24,163.098067,0.258985289,0.741586555,0,0,0,0,10,14397.97616
200,E,0,0,NA,#NAME?,0,0,0,0,0,14397.97616
200,F,489.28,927.6166484,0.52745927,1.588627746,0,0,0,4,8,14397.97616
200,G,0,0,NA,#NAME?,0,0,0,0,0,14397.97616
201,A,4915.68,6775.136035,0.725547055,1.403549124,0,0,1,25,43,14398.78049
201,B,621.28,1541.308284,0.403086136,1.183589234,0,0,1,2,3,14398.78049
201,C,231.44,1300.530665,0.177958126,1.357358471,0,0,0,3,37,14398.78049
201,D,0,0,NA,#NAME?,0,0,0,0,0,14398.78049
201,E,0,0,NA,#NAME?,0,0,0,0,0,14398.78049
201,F,92.4,488.8322215,0.18902191,0.546453521,0,0,0,0,19,14398.78049
201,G,0,0,NA,#NAME?,0,0,0,0,0,14398.78049
202,A,3828.88,9484.485021,0.403699304,1.076606615,0,0,4,14,2,14399.98785
202,B,0,0,NA,#NAME?,0,0,0,0,0,14399.98785
202,C,3419.68,14123.67888,0.242123885,0.429609259,0,1,6,7,2,14399.98785
202,D,0,0,NA,#NAME?,0,0,0,0,0,14399.98785
202,E,7428.96,11811.51272,0.628959235,1.110466193,0,0,4,18,9,14399.98785
202,F,10643.6,13779.94737,0.772397725,1.333444431,1,0,0,0,0,14399.98785
202,G,2917.2,3953.79117,0.73782349,1.433222338,0,0,2,4,0,14399.98785
203,A,1132.56,2081.541657,0.544096726,0.90864874,0,0,2,2,1,14399.98409
203,B,22,87.39967585,0.251717181,0.902418769,0,0,0,0,4,14399.98409
203,C,705.76,5741.420149,0.122924291,0.721516758,0,0,1,33,30,14399.98409
203,D,5822.08,10218.12462,0.569779702,1.378729144,1,0,0,10,19,14399.98409
203,E,13397.12,13296.3347,1.007579931,1.674181467,1,0,2,0,0,14399.98409
203,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98409
203,G,0,0,NA,#NAME?,0,0,0,0,0,14399.98409
204,A,0,0,NA,#NAME?,0,0,0,0,0,14399.99981
204,B,4101.68,9900.909898,0.414273036,0.990639624,0,1,2,7,8,14399.99981
204,C,0,0,NA,#NAME?,0,0,0,0,0,14399.99981
204,D,10.56,16.64029384,0.634604178,2.465605996,0,0,0,0,1,14399.99981
204,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99981
204,F,3519.12,11288.04306,0.31175643,0.594910943,0,1,3,6,6,14399.99981
204,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99981
205,A,0,0,NA,#NAME?,0,0,0,0,0,14399.99494
205,B,0,0,NA,#NAME?,0,0,0,0,0,14399.99494
205,C,29.92,121.6931551,0.24586428,0.660547148,0,0,0,0,6,14399.99494
205,D,6027.12,13306.02026,0.452961884,2.060455981,1,0,1,3,1,14399.99494
205,E,2914.56,3675.35031,0.79300196,1.675938249,0,0,2,9,10,14399.99494
205,F,7547.76,12327.72552,0.612258927,1.170113198,0,1,4,10,7,14399.99494
205,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99494
206,A,80.96,169.0794137,0.478828251,0.855077144,0,0,0,1,7,6679.259135
206,B,0,0,NA,#NAME?,0,0,0,0,0,6679.259135
206,C,0,0,NA,#NAME?,0,0,0,0,0,6679.259135
206,D,0,0,NA,#NAME?,0,0,0,0,0,6679.259135
206,E,0,0,NA,#NAME?,0,0,0,0,0,6679.259135
206,F,0,0,NA,#NAME?,0,0,0,0,0,6679.259135
206,G,0,0,NA,#NAME?,0,0,0,0,0,6679.259135
207,A,0,0,NA,#NAME?,0,0,0,0,0,14399.99614
207,B,41.36,156.9102991,0.263590091,1.159097967,0,0,0,1,6,14399.99614
207,C,9739.84,10844.13478,0.898166631,2.94952666,1,0,0,5,7,14399.99614
207,D,0,0,NA,#NAME?,0,0,0,0,0,14399.99614
207,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99614
207,F,0,0,NA,#NAME?,0,0,0,0,0,14399.99614
207,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99614
208,A,0,0,NA,#NAME?,0,0,0,0,0,14399.98124
208,B,0,0,NA,#NAME?,0,0,0,0,0,14399.98124
208,C,0,0,NA,#NAME?,0,0,0,0,0,14399.98124
208,D,0,0,NA,#NAME?,0,0,0,0,0,14399.98124
208,E,7094.56,9596.841169,0.739259916,1.885571584,0,0,5,9,9,14399.98124
208,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98124
208,G,1625.36,1757.045201,0.925053037,1.620653243,0,0,1,0,8,14399.98124
209,A,2336.4,3442.460996,0.6787005,1.176643631,0,0,1,1,5,14399.20788
209,B,0,0,NA,#NAME?,0,0,0,0,0,14399.20788
209,C,278.96,423.0768971,0.65936004,1.041865145,0,0,0,1,0,14399.20788
209,D,12.32,70.77165604,0.174080991,0.321275063,0,0,0,0,3,14399.20788
209,E,113.52,272.0844119,0.417223461,1.095977982,0,0,0,1,5,14399.20788
209,F,1522.4,1776.845098,0.856799505,2.077886685,0,0,1,0,1,14399.20788
209,G,0,0,NA,#NAME?,0,0,0,0,0,14399.20788
210,A,0,0,NA,#NAME?,0,0,0,0,0,14399.98401
210,B,297.44,1572.983995,0.189092833,1.118706164,0,0,0,7,45,14399.98401
210,C,0,0,NA,#NAME?,0,0,0,0,0,14399.98401
210,D,0,0,NA,#NAME?,0,0,0,0,0,14399.98401
210,E,25.52,106.9201138,0.238682874,0.525377188,0,0,0,0,3,14399.98401
210,F,69.52,120.054646,0.579069635,0.979729672,0,0,0,1,0,14399.98401
210,G,2.64,13.79498196,0.191373936,0.24861145,0,0,0,0,1,14399.98401
211,A,0,0,NA,#NAME?,0,0,0,0,0,14399.98816
211,B,421.52,681.8200951,0.618227599,1.168964388,0,0,1,0,1,14399.98816
211,C,0,0,NA,#NAME?,0,0,0,0,0,14399.98816
211,D,0,0,NA,#NAME?,0,0,0,0,0,14399.98816
211,E,1100.88,3758.549688,0.292900212,0.584646525,0,0,2,9,7,14399.98816
211,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98816
211,G,0,0,NA,#NAME?,0,0,0,0,0,14399.98816
212,A,1738,2292.410563,0.758153896,1.460100866,0,0,1,4,1,14399.97936
212,B,0,0,NA,#NAME?,0,0,0,0,0,14399.97936
212,C,2.64,15.22111392,0.173443285,0.252205509,0,0,0,0,1,14399.97936
212,D,4483.6,9488.164228,0.472546627,0.824543538,1,0,0,0,13,14399.97936
212,E,0,0,NA,#NAME?,0,0,0,0,0,14399.97936
212,F,0,0,NA,#NAME?,0,0,0,0,0,14399.97936
212,G,0,0,NA,#NAME?,0,0,0,0,0,14399.97936
213,A,9706.4,11781.99981,0.823832979,1.35651939,0,1,5,2,0,14399.99076
213,B,1416.8,2472.930144,0.572923584,1.114563208,0,0,1,0,2,14399.99076
213,C,423.28,1188.063644,0.35627721,0.710261772,0,0,1,0,0,14399.99076
213,D,101.2,481.0130355,0.210389309,1.187791203,0,0,0,1,19,14399.99076
213,E,4866.4,7244.143981,0.671770193,1.889364811,0,0,2,20,8,14399.99076
213,F,433.84,2557.963357,0.169603681,0.465007883,0,0,0,13,15,14399.99076
213,G,1994.96,5370.596555,0.371459666,0.870777569,0,0,3,1,1,14399.99076
214,A,1443.2,3238.053344,0.445699884,1.171122304,0,0,0,19,23,14399.99819
214,B,3881.68,4275.756106,0.907834756,2.114519898,0,0,2,11,8,14399.99819
214,C,95.04,130.418185,0.72873273,1.10705193,0,0,0,1,0,14399.99819
214,D,0,0,NA,#NAME?,0,0,0,0,0,14399.99819
214,E,12151.04,14389.84346,0.844417803,1.365467185,1,0,0,0,0,14399.99819
214,F,2251.92,7118.205959,0.316360613,0.733899641,0,1,1,7,40,14399.99819
214,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99819
215,A,13.2,33.1161921,0.398596552,0.500525821,0,0,0,0,1,14399.98889
215,B,0,0,NA,#NAME?,0,0,0,0,0,14399.98889
215,C,5.28,30.56386209,0.172753037,0.355657598,0,0,0,0,1,14399.98889
215,D,293.92,547.1602526,0.537173522,0.96662944,0,0,0,2,7,14399.98889
215,E,2449.04,3936.591766,0.622121913,1.259024439,0,0,2,9,5,14399.98889
215,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98889
215,G,0,0,NA,#NAME?,0,0,0,0,0,14399.98889
216,A,459.36,712.5182743,0.644699254,1.185003196,0,0,0,2,10,14399.98699
216,B,14736.48,13987.82695,1.053521755,1.882232107,1,0,2,4,0,14399.98699
216,C,77.44,250.0714109,0.309671544,2.789250671,0,0,0,0,14,14399.98699
216,D,66.88,80.54055285,0.830389135,1.629928395,0,0,0,0,2,14399.98699
216,E,169.84,377.8690169,0.449467917,0.796848932,0,0,0,3,0,14399.98699
216,F,4172.08,13366.69384,0.312125051,0.883013058,0,0,7,16,12,14399.98699
216,G,0,0,NA,#NAME?,0,0,0,0,0,14399.98699
217,A,393.36,875.9253712,0.449079354,0.913700107,0,0,0,2,0,14399.99642
217,B,0,0,NA,#NAME?,0,0,0,0,0,14399.99642
217,C,0,0,NA,#NAME?,0,0,0,0,0,14399.99642
217,D,0,0,NA,#NAME?,0,0,0,0,0,14399.99642
217,E,2702.48,3091.625957,0.87412903,2.479006299,0,0,1,13,11,14399.99642
217,F,0,0,NA,#NAME?,0,0,0,0,0,14399.99642
217,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99642
220,A,0,0,NA,#NAME?,0,0,0,0,0,14399.99311
220,B,0,0,NA,#NAME?,0,0,0,0,0,14399.99311
220,C,59.84,218.504082,0.273862161,2.20174489,0,0,0,0,10,14399.99311
220,D,5294.96,9479.922124,0.558544673,1.610706684,0,0,4,16,1,14399.99311
220,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99311
220,F,2063.6,9713.535059,0.212445828,0.864914988,0,0,1,40,69,14399.99311
220,G,7205.44,13832.77091,0.520896359,1.24450911,0,0,9,9,1,14399.99311
221,A,2148.08,4004.561892,0.536408241,1.174631664,0,0,1,12,21,14399.99462
221,B,321.2,543.7548051,0.590707424,0.903634557,0,0,0,1,1,14399.99462
221,C,7.92,47.14835072,0.167980425,1.25830936,0,0,0,0,2,14399.99462
221,D,0,0,NA,#NAME?,0,0,0,0,0,14399.99462
221,E,4.4,4.760630131,0.924247396,1.616019054,0,0,0,0,1,14399.99462
221,F,1525.92,3956.330663,0.385690714,1.117353894,0,0,0,14,6,14399.99462
221,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99462
222,A,0,0,NA,#NAME?,0,0,0,0,0,14399.05347
